|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |      |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM |
|--------------------+------------+---------------------------------------+------|
|        3         3 |     15  31 |     .29      .59  .16   .5   .6  -.17 |      | 3 Neutral
|        4         4 |     23  47 |    1.09      .48  .10   .5   .6   .49 |      | 4 Agree
|        5         5 |      2   4 |    2.78      .82  .82   .6   .6   .45 |      | 5 Strongly agree
|                    |            |                                       |      |
|    2   2         2 |     11  22 |    -.32      .77  .24  1.0   .9  -.47 |SEQ2  | 2 Disagree
|        3         3 |     11  22 |     .14      .82  .26  1.0   .9  -.23 |      | 3 Neutral
|        4         4 |     25  51 |    1.02      .80  .16   .9   .9   .47 |      | 4 Agree
|        5         5 |      2   4 |    1.96      .00  .00   .8   .9   .29 |      | 5 Strongly agree
|                    |            |                                       |      |
|    7   1         1 |      4   8 |    -.63     1.55  .90  1.6  2.2  -.35 |SEQ7  | 1 Strongly disagree
|        2         2 |      4   8 |    -.40      .28  .16   .7   .6  -.28 |      | 2 Disagree
|        3         3 |     12  24 |     .29      .72  .22   .8   .9  -.15 |      | 3 Neutral
|        4         4 |     27  55 |     .83      .61  .12   .9   .9   .30 |      | 4 Agree
|        5         5 |      2   4 |    2.78      .82  .82   .5   .5   .45 |      | 5 Strongly agree
|                    |            |                                       |      |
|    5   1         1 |      2   4 |   -1.19      .28  .28   .7   .7  -.36 |SEQ5  | 1 Strongly disagree
|        2         2 |      7  15 |    -.29     1.16  .47  1.2  1.5  -.34 |      | 2 Disagree
|        3         3 |     11  23 |     .54      .77  .24  1.2  1.3  -.01 |      | 3 Neutral
|        4         4 |     25  52 |     .72      .62  .13  1.0  1.1   .17 |      | 4 Agree
|        5         5 |      3   6 |    2.40      .85  .60   .7   .7   .47 |      | 5 Strongly agree
|        MISSING *** |      1   2#|     .62      .00                  .01 |      |
|                    |            |                                       |      |
|   18   1         1 |      1   2 |   -1.47      .00        .6   .6  -.29 |SEQ18 | 1 Strongly disagree
|        2         2 |      2   4 |    -.15      .32  .32  1.0   .9  -.14 |      | 2 Disagree
|        3         3 |     25  51 |     .38      .86  .18  1.1  1.2  -.18 |      | 3 Neutral
|        4         4 |     17  35 |     .69      .88  .22  1.7  1.9   .10 |      | 4 Agree
|        5         5 |      4   8 |    1.98      .95  .55   .8   .9   .42 |      | 5 Strongly agree
|                    |            |                                       |      |
|   11   1         1 |      2   4 |    -.07     2.03 2.03  2.9  3.7  -.13 |SEQ11 | 1 Strongly disagree
