|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |      |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM |
|--------------------+------------+---------------------------------------+------|
|        3         3 |     11  23 |     .54      .77  .24  1.2  1.3  -.01 |      | 3 Neutral
|        4         4 |     25  52 |     .72      .62  .13  1.0  1.1   .17 |      | 4 Agree
|        5         5 |      3   6 |    2.40      .85  .60   .7   .7   .47 |      | 5 Strongly agree
|        MISSING *** |      1   2#|     .62      .00                  .01 |      |
|                    |            |                                       |      |
|    3 H 2         2 |      5  10 |    -.27      .16  .08  1.0   .9  -.28 |SEQ3  | 2 Disagree
|        3         3 |     13  27 |     .34      .81  .23  1.3  1.2  -.13 |      | 3 Neutral
|        4         4 |     29  59 |     .70     1.06  .20  1.9  1.9   .17 |      | 4 Agree
|        5         5 |      2   4 |    1.96      .00  .00   .7   .8   .29 |      | 5 Strongly agree
|                    |            |                                       |      |
|   16 I 3         3 |      7  14 |    -.21      .65  .27  1.1  1.0  -.31 |SEQ16 | 3 Neutral
|        4         4 |     25  51 |     .35      .78  .16  1.0   .8  -.21 |      | 4 Agree
|        5         5 |     17  35 |    1.17     1.09  .27  1.1  1.0   .45 |      | 5 Strongly agree
|                    |            |                                       |      |
|   18 i 1         1 |      1   2 |   -1.47      .00        .6   .6  -.29 |SEQ18 | 1 Strongly disagree
|        2         2 |      2   4 |    -.15      .32  .32  1.0   .9  -.14 |      | 2 Disagree
|        3         3 |     25  51 |     .38      .86  .18  1.1  1.2  -.18 |      | 3 Neutral
|        4         4 |     17  35 |     .69      .88  .22  1.7  1.9   .10 |      | 4 Agree
|        5         5 |      4   8 |    1.98      .95  .55   .8   .9   .42 |      | 5 Strongly agree
|                    |            |                                       |      |
|   10 h 1         1 |      2   4 |   -1.19      .28  .28   .6   .6  -.36 |SEQ10 | 1 Strongly disagree
|        2         2 |      9  18 |    -.22      .84  .30  1.0  1.0  -.36 |      | 2 Disagree
|        3         3 |     17  35 |     .43      .80  .20  1.0  1.1  -.09 |      | 3 Neutral
|        4         4 |     17  35 |     .91      .55  .14   .9   .9   .26 |      | 4 Agree
|        5         5 |      4   8 |    2.18      .83  .48   .8   .8   .48 |      | 5 Strongly agree
|                    |            |                                       |      |
|    2 g 2         2 |     11  22 |    -.32      .77  .24  1.0   .9  -.47 |SEQ2  | 2 Disagree
|        3         3 |     11  22 |     .14      .82  .26  1.0   .9  -.23 |      | 3 Neutral
|        4         4 |     25  51 |    1.02      .80  .16   .9   .9   .47 |      | 4 Agree
|        5         5 |      2   4 |    1.96      .00  .00   .8   .9   .29 |      | 5 Strongly agree
|                    |            |                                       |      |
|    6 f 1         1 |      7  14 |    -.84      .73  .30   .7   .6  -.57 |SEQ6  | 1 Strongly disagree
|        2         2 |     15  31 |     .45      .86  .23  1.5  1.5  -.07 |      | 2 Disagree
|        3         3 |     23  47 |     .82      .56  .12   .7   .7   .24 |      | 3 Neutral
|        4         4 |      2   4 |    2.03     1.56 1.56  1.3  1.0   .30 |      | 4 Agree
|        5         5 |      2   4 |    1.81*     .15  .15  1.0  1.1   .26 |      | 5 Strongly agree
|                    |            |                                       |      |
|   15 e 3         3 |      1   2 |    -.82      .00        .9   .7  -.20 |SEQ15 | 3 Neutral
|        4         4 |     26  53 |     .24      .84  .17  1.0   .9  -.34 |      | 4 Agree
|        5         5 |     22  45 |    1.00     1.01  .22  1.1  1.1   .40 |      | 5 Strongly agree
|                    |            |                                       |      |
|    4 d 1         1 |      4   8 |   -1.01      .69  .40   .7   .7  -.46 |SEQ4  | 1 Strongly disagree
|        2         2 |     13  27 |     .06      .76  .22  1.0  1.0  -.30 |      | 2 Disagree
|        3         3 |     19  39 |     .46      .55  .13   .6   .6  -.07 |      | 3 Neutral
|        4         4 |     10  20 |    1.63      .71  .24   .5   .5   .54 |      | 4 Agree
|        5         5 |      3   6 |    1.81      .21  .15  1.0  1.1   .32 |      | 5 Strongly agree
|                    |            |                                       |      |
