"comparison","chi_square","df","p_value","p_holm"
"CHN vs JPN",343.841387373607,3,3.21490501036267e-74,1.9289430062176e-73
"JPN vs KOR",149.296203654873,3,3.73754132446018e-32,1.86877066223009e-31
"ENS vs JPN",114.847168818325,3,9.93087861635423e-25,3.97235144654169e-24
"CHN vs ENS",101.924955094195,3,5.99180212603081e-22,1.79754063780924e-21
"CHN vs KOR",34.6734216761686,3,1.42798650198927e-07,2.85597300397854e-07
"ENS vs KOR",17.2598261167277,3,0.000624891058231152,0.000624891058231152
