"dimension","eigenvalue","percent_inertia","cumulative_percent_inertia"
"dim 1",0.0372603954808064,82.324177803841,82.324177803841
"dim 2",0.00774537633009727,17.1128548134989,99.4370326173399
"dim 3",0.000254802269276141,0.562967382660139,100
