"category","Dim 1","Dim 2","Dim 3"
"stance",-0.107455746579017,0.008974619313094,-0.00936237074185027
"referential",0.118875987409814,-0.0918761959457755,0.0149880072805327
"discourse_organizer",0.600348234272207,0.174331092125183,-0.0144066606745008
"vague_extender",-0.275497822881485,0.299171104141069,0.0582729844707104
