"file","group","category","bundle","raw_frequency"
"CHN_B20.txt","CHN","stance","i believe that",0
"CHN_B20.txt","CHN","stance","i disagree with",0
"CHN_B20.txt","CHN","stance","i do not",0
"CHN_B20.txt","CHN","stance","i think it",21
"CHN_B20.txt","CHN","stance","i think that",7
"CHN_B20.txt","CHN","stance","in my opinion",6
"CHN_B20.txt","CHN","referential","in order to",2
"CHN_B20.txt","CHN","stance","it is better",6
"CHN_B20.txt","CHN","stance","it is difficult",0
"CHN_B20.txt","CHN","stance","it is important",3
"CHN_B20.txt","CHN","stance","it is necessary",1
"CHN_B20.txt","CHN","referential","many kinds of",0
"CHN_B20.txt","CHN","referential","more and more",9
"CHN_B20.txt","CHN","discourse_organizer","on the other hand",3
"CHN_B20.txt","CHN","referential","one of the",4
"CHN_B20.txt","CHN","vague_extender","or something like",0
"CHN_B20.txt","CHN","referential","the most important",4
"CHN_B20.txt","CHN","stance","there are many",3
"CHN_B20.txt","CHN","stance","there is no",2
"CHN_B20.txt","CHN","vague_extender","things like that",0
"CHN_B20.txt","CHN","discourse_organizer","to sum up",2
"CHN_B20.txt","CHN","stance","we have to",4
"CHN_B20.txt","CHN","stance","we should not",1
"CHN_B20.txt","CHN","discourse_organizer","what is more",0
"ENS_XX1.txt","ENS","referential","a lot of",113
"ENS_XX1.txt","ENS","vague_extender","and so forth",0
"ENS_XX1.txt","ENS","vague_extender","and so on",2
"ENS_XX1.txt","ENS","discourse_organizer","as a result",18
"ENS_XX1.txt","ENS","referential","be able to",111
"ENS_XX1.txt","ENS","referential","because of the",19
"ENS_XX1.txt","ENS","referential","due to the",6
"ENS_XX1.txt","ENS","discourse_organizer","first of all",9
"ENS_XX1.txt","ENS","stance","i agree with",27
"ENS_XX1.txt","ENS","stance","i believe that",71
"ENS_XX1.txt","ENS","stance","i disagree with",8
"ENS_XX1.txt","ENS","stance","i do not",34
"ENS_XX1.txt","ENS","stance","i think it",91
"ENS_XX1.txt","ENS","stance","i think that",152
"ENS_XX1.txt","ENS","stance","in my opinion",1
"ENS_XX1.txt","ENS","referential","in order to",39
"ENS_XX1.txt","ENS","stance","it is better",2
"ENS_XX1.txt","ENS","stance","it is difficult",6
"ENS_XX1.txt","ENS","stance","it is important",45
"ENS_XX1.txt","ENS","stance","it is necessary",4
"ENS_XX1.txt","ENS","referential","many kinds of",0
"ENS_XX1.txt","ENS","referential","more and more",5
"ENS_XX1.txt","ENS","discourse_organizer","on the other hand",9
"ENS_XX1.txt","ENS","referential","one of the",24
"ENS_XX1.txt","ENS","vague_extender","or something like",1
"ENS_XX1.txt","ENS","referential","the most important",9
"ENS_XX1.txt","ENS","stance","there are many",18
"ENS_XX1.txt","ENS","stance","there is no",17
"ENS_XX1.txt","ENS","vague_extender","things like that",6
"ENS_XX1.txt","ENS","discourse_organizer","to sum up",0
"ENS_XX1.txt","ENS","stance","we have to",8
"ENS_XX1.txt","ENS","stance","we should not",3
"ENS_XX1.txt","ENS","discourse_organizer","what is more",0
"ENS_XX2.txt","ENS","referential","a lot of",76
"ENS_XX2.txt","ENS","vague_extender","and so forth",0
"ENS_XX2.txt","ENS","vague_extender","and so on",3
"ENS_XX2.txt","ENS","discourse_organizer","as a result",5
"ENS_XX2.txt","ENS","referential","be able to",73
"ENS_XX2.txt","ENS","referential","because of the",5
"ENS_XX2.txt","ENS","referential","due to the",6
"ENS_XX2.txt","ENS","discourse_organizer","first of all",11
"ENS_XX2.txt","ENS","stance","i agree with",24
"ENS_XX2.txt","ENS","stance","i believe that",53
"ENS_XX2.txt","ENS","stance","i disagree with",21
"ENS_XX2.txt","ENS","stance","i do not",21
"ENS_XX2.txt","ENS","stance","i think it",119
"ENS_XX2.txt","ENS","stance","i think that",103
"ENS_XX2.txt","ENS","stance","in my opinion",10
"ENS_XX2.txt","ENS","referential","in order to",30
"ENS_XX2.txt","ENS","stance","it is better",3
"ENS_XX2.txt","ENS","stance","it is difficult",4
"ENS_XX2.txt","ENS","stance","it is important",22
"ENS_XX2.txt","ENS","stance","it is necessary",2
"ENS_XX2.txt","ENS","referential","many kinds of",1
"ENS_XX2.txt","ENS","referential","more and more",5
"ENS_XX2.txt","ENS","discourse_organizer","on the other hand",25
"ENS_XX2.txt","ENS","referential","one of the",7
"ENS_XX2.txt","ENS","vague_extender","or something like",7
"ENS_XX2.txt","ENS","referential","the most important",5
"ENS_XX2.txt","ENS","stance","there are many",8
"ENS_XX2.txt","ENS","stance","there is no",18
"ENS_XX2.txt","ENS","vague_extender","things like that",9
"ENS_XX2.txt","ENS","discourse_organizer","to sum up",0
"ENS_XX2.txt","ENS","stance","we have to",3
"ENS_XX2.txt","ENS","stance","we should not",2
"ENS_XX2.txt","ENS","discourse_organizer","what is more",2
"ENS_XX3.txt","ENS","referential","a lot of",56
"ENS_XX3.txt","ENS","vague_extender","and so forth",0
"ENS_XX3.txt","ENS","vague_extender","and so on",0
"ENS_XX3.txt","ENS","discourse_organizer","as a result",5
"ENS_XX3.txt","ENS","referential","be able to",26
"ENS_XX3.txt","ENS","referential","because of the",13
"ENS_XX3.txt","ENS","referential","due to the",0
"ENS_XX3.txt","ENS","discourse_organizer","first of all",5
"ENS_XX3.txt","ENS","stance","i agree with",9
"ENS_XX3.txt","ENS","stance","i believe that",32
"ENS_XX3.txt","ENS","stance","i disagree with",2
"ENS_XX3.txt","ENS","stance","i do not",10
"ENS_XX3.txt","ENS","stance","i think it",49
"ENS_XX3.txt","ENS","stance","i think that",89
"ENS_XX3.txt","ENS","stance","in my opinion",4
"ENS_XX3.txt","ENS","referential","in order to",8
"ENS_XX3.txt","ENS","stance","it is better",2
"ENS_XX3.txt","ENS","stance","it is difficult",1
"ENS_XX3.txt","ENS","stance","it is important",25
"ENS_XX3.txt","ENS","stance","it is necessary",7
"ENS_XX3.txt","ENS","referential","many kinds of",0
"ENS_XX3.txt","ENS","referential","more and more",2
"ENS_XX3.txt","ENS","discourse_organizer","on the other hand",3
"ENS_XX3.txt","ENS","referential","one of the",13
"ENS_XX3.txt","ENS","vague_extender","or something like",1
"ENS_XX3.txt","ENS","referential","the most important",4
"ENS_XX3.txt","ENS","stance","there are many",14
"ENS_XX3.txt","ENS","stance","there is no",11
"ENS_XX3.txt","ENS","vague_extender","things like that",1
"ENS_XX3.txt","ENS","discourse_organizer","to sum up",0
"ENS_XX3.txt","ENS","stance","we have to",4
"ENS_XX3.txt","ENS","stance","we should not",0
"ENS_XX3.txt","ENS","discourse_organizer","what is more",0
"JPN_A20.txt","JPN","referential","a lot of",174
"JPN_A20.txt","JPN","vague_extender","and so forth",0
"JPN_A20.txt","JPN","vague_extender","and so on",71
"JPN_A20.txt","JPN","discourse_organizer","as a result",12
"JPN_A20.txt","JPN","referential","be able to",32
"JPN_A20.txt","JPN","referential","because of the",5
"JPN_A20.txt","JPN","referential","due to the",3
"JPN_A20.txt","JPN","discourse_organizer","first of all",20
"JPN_A20.txt","JPN","stance","i agree with",160
"JPN_A20.txt","JPN","stance","i believe that",4
"JPN_A20.txt","JPN","stance","i disagree with",16
"JPN_A20.txt","JPN","stance","i do not",37
"JPN_A20.txt","JPN","stance","i think it",126
"JPN_A20.txt","JPN","stance","i think that",255
"JPN_A20.txt","JPN","stance","in my opinion",9
"JPN_A20.txt","JPN","referential","in order to",25
"JPN_A20.txt","JPN","stance","it is better",5
"JPN_A20.txt","JPN","stance","it is difficult",10
"JPN_A20.txt","JPN","stance","it is important",160
"JPN_A20.txt","JPN","stance","it is necessary",15
"JPN_A20.txt","JPN","referential","many kinds of",24
"JPN_A20.txt","JPN","referential","more and more",14
"JPN_A20.txt","JPN","discourse_organizer","on the other hand",9
"JPN_A20.txt","JPN","referential","one of the",24
"JPN_A20.txt","JPN","vague_extender","or something like",0
"JPN_A20.txt","JPN","referential","the most important",28
"JPN_A20.txt","JPN","stance","there are many",56
"JPN_A20.txt","JPN","stance","there is no",12
"JPN_A20.txt","JPN","vague_extender","things like that",0
"JPN_A20.txt","JPN","discourse_organizer","to sum up",0
"JPN_A20.txt","JPN","stance","we have to",52
"JPN_A20.txt","JPN","stance","we should not",21
"JPN_A20.txt","JPN","discourse_organizer","what is more",1
"JPN_B11.txt","JPN","referential","a lot of",247
"JPN_B11.txt","JPN","vague_extender","and so forth",0
"JPN_B11.txt","JPN","vague_extender","and so on",83
"JPN_B11.txt","JPN","discourse_organizer","as a result",10
"JPN_B11.txt","JPN","referential","be able to",49
"JPN_B11.txt","JPN","referential","because of the",8
"JPN_B11.txt","JPN","referential","due to the",0
"JPN_B11.txt","JPN","discourse_organizer","first of all",11
"JPN_B11.txt","JPN","stance","i agree with",234
"JPN_B11.txt","JPN","stance","i believe that",11
"JPN_B11.txt","JPN","stance","i disagree with",66
"JPN_B11.txt","JPN","stance","i do not",17
"JPN_B11.txt","JPN","stance","i think it",112
"JPN_B11.txt","JPN","stance","i think that",271
"JPN_B11.txt","JPN","stance","in my opinion",11
"JPN_B11.txt","JPN","referential","in order to",24
"JPN_B11.txt","JPN","stance","it is better",8
"JPN_B11.txt","JPN","stance","it is difficult",21
"JPN_B11.txt","JPN","stance","it is important",163
"JPN_B11.txt","JPN","stance","it is necessary",15
"JPN_B11.txt","JPN","referential","many kinds of",12
"JPN_B11.txt","JPN","referential","more and more",14
"JPN_B11.txt","JPN","discourse_organizer","on the other hand",13
"JPN_B11.txt","JPN","referential","one of the",30
