"group","Dim 1","Dim 2","Dim 3"
"CHN",0.259821960908747,0.0802810625410862,-0.00665682174444715
"ENS",0.00109265127393725,-0.145805361356255,-0.0192784425046237
"JPN",-0.216243121910905,0.0504590361497502,0.000578587374025584
"KOR",0.0967470305763634,-0.0787628210288692,0.0328511792672932
