Comparison,Z,P.unadj,P.adj
CHN - ENS,0.31121424234080547,0.7556377564688843,1
CHN - JPN,0.1270526824036402,0.8988987018365556,0.8988987018365556
ENS - JPN,-0.20747616156053697,0.8356380079448412,1
CHN - KOR,1.609333977112776,0.10754333341354835,0.6452600004812901
ENS - KOR,1.0028014475425953,0.31595667028972285,1
JPN - KOR,1.4822812947091357,0.13826546330023248,0.6913273165011624
