contrast,odds.ratio,SE,df,null,z.ratio,p.value
CHN / ENS,1.3541666666685421,1.572651263693459,Inf,1,0.2610653329148021,0.9937700651539059
CHN / JPN,1.057692307692507,0.3885318919696711,Inf,1,0.15269119124000882,0.9987324833395721
CHN / KOR,2.0833333333338935,1.014605618209292,Inf,1,1.5070904602159418,0.43316644730657605
ENS / JPN,0.7810650887564619,0.8858182279106818,Inf,1,-0.2178761646100362,0.996350627919993
ENS / KOR,1.5384615384598213,1.8128142556527915,Inf,1,0.36558789504522915,0.9833032951385007
JPN / KOR,1.9696969696971278,0.8232335295027767,Inf,1,1.6219183981958274,0.3661602217559251
