effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,conditional,(Intercept),-8.182329971454426,0.1674201393532633,-48.87303285651541,0,-8.5104674148735,-7.854192528035353
fixed,conditional,cultureENS,-2.39514109948065,0.4934867679166342,-4.8535062238695454,1.212975332511469e-6,-3.362357391444329,-1.427924807516971
fixed,conditional,cultureJPN,1.122679290447559,0.21326209301140464,5.264317134820211,1.4071137557370656e-7,0.7046932688775749,1.5406653120175433
fixed,conditional,cultureKOR,-0.2919168371471949,0.25916518099681474,-1.1263736742119794,0.2600073850390895,-0.799871257947756,0.21603758365336628
fixed,conditional,(Intercept),-18.776108091205653,5972.41584519281,-0.0031438045470860037,0.9974916110216456,-11724.496065365458,11686.943849183046
fixed,conditional,cultureENS,2.3965436608894186,18265.589402286118,1.312053834183674e-4,0.9998953132505767,-35797.50084121638,35802.293928538165
fixed,conditional,cultureJPN,-1.2832526997138567,12821.036056563884,-1.0008962567864241e-4,0.9999201400331078,-25130.05216805436,25127.48566265493
fixed,conditional,cultureKOR,-1.2832526997138527,12821.036056552724,-1.0008962567872921e-4,0.9999201400331077,-25130.05216803249,25127.48566263306
