group1,group2,diff,ci_low,ci_high,method
CHN,ENS,0.04415584415584406,-0.15399614464152947,0.4791540244957068,Newcombe score (PropCIs::diffscoreci)
CHN,JPN,0.007522180789507504,-0.09966738277372521,0.09502066025946092,Newcombe score (PropCIs::diffscoreci)
CHN,KOR,0.1219336219336219,-0.032994141267319636,0.3003122084068529,Newcombe score (PropCIs::diffscoreci)
ENS,JPN,-0.036633663366336555,-0.46544542749329365,0.14066029356257756,Newcombe score (PropCIs::diffscoreci)
ENS,KOR,0.07777777777777783,-0.3768944329685635,0.3296850562095642,Newcombe score (PropCIs::diffscoreci)
JPN,KOR,0.11441144114411439,-0.01874914755522223,0.2839126615109879,Newcombe score (PropCIs::diffscoreci)
