term,estimate,std.error,statistic,p.value,conf.low,conf.high,note
(Intercept),5.416666666666674,0.3141941244431425,5.377187186749483,7.565850382810533e-8,3.040293940608517,10.537086344849866,Exponentiated coefficients are odds ratios (final share)
cultureENS,0.7384615384605157,1.161342471648946,-0.2610653329148021,0.794042125174163,0.0980830474146667,15.110403035817658,Exponentiated coefficients are odds ratios (final share)
cultureJPN,0.9454545454543672,0.3673392433167107,-0.15269119124000882,0.8786418076776902,0.4449461773571066,1.899151801308826,Exponentiated coefficients are odds ratios (final share)
cultureKOR,0.479999999999871,0.4870106967403292,-1.5070904602159418,0.13178747172445418,0.1841118710676358,1.2646992692996086,Exponentiated coefficients are odds ratios (final share)
