culture,files,tokens,trigram_positions,andso_total,andso_final,andso_nonfinal,rate_total_per_100k,rate_final_per_100k,rate_nonfin_per_100k,prop_final_share,ci_lower,ci_upper
CHN,4,276598,276590,77,65,12,27.838234549779827,23.499808386177776,4.33842616360205,0.8441558441558441,0.7470629230044414,0.9085412777751818
ENS,3,195012,195006,5,4,1,2.5639447828851556,2.0511558263081247,0.5127889565770312,0.8,0.37553462976252544,0.9637758913675698
JPN,4,232084,232076,202,169,33,87.03745195705004,72.8184622808983,14.218989676151738,0.8366336633663366,0.7794575343887922,0.8812451286178272
KOR,4,175751,175743,36,26,10,20.48352498705555,14.793656935095674,5.689868051959875,0.7222222222222222,0.5600751000260289,0.8415166205986538
